<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	1.10409	1.10439	1.10409	1.10432	167	0	15
2024.01.02	01:00:00	1.10430	1.10436	1.10350	1.10359	563	0	11
2024.01.02	02:00:00	1.10360	1.10376	1.10336	1.10376	519	0	11
2024.01.02	03:00:00	1.10376	1.10427	1.10337	1.10344	1057	0	11
2024.01.02	04:00:00	1.10344	1.10354	1.10177	1.10184	878	0	11
2024.01.02	05:00:00	1.10184	1.10243	1.10170	1.10240	685	0	11
2024.01.02	06:00:00	1.10240	1.10244	1.10160	1.10203	548	0	11
2024.01.02	07:00:00	1.10203	1.10331	1.10203	1.10329	855	0	11
2024.01.02	08:00:00	1.10331	1.10347	1.10264	1.10280	826	0	11
2024.01.02	09:00:00	1.10282	1.10374	1.10145	1.10147	1583	0	11
2024.01.02	10:00:00	1.10172	1.10382	1.10172	1.10291	1875	0	11
2024.01.02	11:00:00	1.10287	1.10373	1.10101	1.10147	1648	0	11
2024.01.02	12:00:00	1.10144	1.10164	1.09966	1.10068	1698	0	11
2024.01.02	13:00:00	1.10063	1.10067	1.09659	1.09687	1845	0	11
2024.01.02	14:00:00	1.09688	1.09713	1.09532	1.09533	1565	0	11
2024.01.02	15:00:00	1.09535	1.09644	1.09490	1.09519	1916	0	11
2024.01.02	16:00:00	1.09517	1.09633	1.09444	1.09619	2219	0	11
2024.01.02	17:00:00	1.09626	1.09678	1.09407	1.09432	2355	0	11
2024.01.02	18:00:00	1.09433	1.09611	1.09403	1.09557	1810	0	11
2024.01.02	19:00:00	1.09560	1.09570	1.09454	1.09501	1417	0	11
2024.01.02	20:00:00	1.09501	1.09554	1.09457	1.09461	1225	0	11
2024.01.02	21:00:00	1.09461	1.09496	1.09422	1.09456	924	0	11
2024.01.02	22:00:00	1.09459	1.09505	1.09416	1.09425	1134	0	11
2024.01.02	23:00:00	1.09425	1.09427	1.09379	1.09402	661	0	11
2024.01.03	00:00:00	1.09395	1.09428	1.09375	1.09402	503	0	15
2024.01.03	01:00:00	1.09407	1.09434	1.09403	1.09408	420	0	11
2024.01.03	02:00:00	1.09410	1.09500	1.09409	1.09489	561	0	11
2024.01.03	03:00:00	1.09488	1.09543	1.09444	1.09508	1017	0	11
2024.01.03	04:00:00	1.09508	1.09525	1.09481	1.09515	732	0	11
2024.01.03	05:00:00	1.09515	1.09616	1.09481	1.09604	608	0	11
2024.01.03	06:00:00	1.09604	1.09619	1.09583	1.09617	499	0	11
2024.01.03	07:00:00	1.09617	1.09623	1.09508	1.09508	819	0	11
2024.01.03	08:00:00	1.09507	1.09602	1.09506	1.09586	690	0	11
2024.01.03	09:00:00	1.09576	1.09621	1.09510	1.09598	1348	0	11
2024.01.03	10:00:00	1.09596	1.09640	1.09497	1.09521	1863	0	11
2024.01.03	11:00:00	1.09517	1.09558	1.09342	1.09359	1708	0	11
2024.01.03	12:00:00	1.09359	1.09385	1.09256	1.09276	1397	0	11
2024.01.03	13:00:00	1.09273	1.09291	1.09147	1.09187	1666	0	11
2024.01.03	14:00:00	1.09190	1.09317	1.09141	1.09162	1597	0	11
2024.01.03	15:00:00	1.09161	1.09296	1.09095	1.09212	2072	0	11
2024.01.03	16:00:00	1.09212	1.09258	1.09095	1.09177	2229	0	11
2024.01.03	17:00:00	1.09130	1.09380	1.08975	1.09041	2663	0	11
